글 제목,가격,올린 시간,url
"Ipad Pro 10.5'' 512G 판매합니다.(아이패드 프로 셀룰러, 애플 펜슬, 로지텍 케이스 추가)","750,000원",2018.12.15. 16:33,https://m.cafe.naver.com/ArticleRead.nhn?clubid=10050146&menuid=1731&articleid=540555459&query=ipad+pro
10.5형 iPad Pro용 가죽 슬리브 - 일렉트릭 블루 판매합니다.,"60,000원",2018.12.15. 13:47,https://m.cafe.naver.com/ArticleRead.nhn?clubid=10050146&menuid=427&articleid=540503808&query=ipad+pro
10.5형 iPad Pro용 가죽 슬리브 - 일렉트릭 블루 판매합니다.,"60,000원",2018.12.15. 13:47,https://m.cafe.naver.com/ArticleRead.nhn?clubid=10050146&menuid=749&articleid=540503736&query=ipad+pro
"아이패드 프로 (ipad pro) 10.5""(인치) 64G, 256G 삽니다(업자X)","810,000원",2018.12.15. 02:09,https://m.cafe.naver.com/ArticleRead.nhn?clubid=10050146&menuid=749&articleid=540380839&query=ipad+pro
ipad pro 스마트키보드 10.5inch,"120,000원",2018.12.14. 17:14,https://m.cafe.naver.com/ArticleRead.nhn?clubid=10050146&menuid=749&articleid=540255579&query=ipad+pro
미개봉 IPAD 급매! IPAD PRO 12.9inch WIFI+CELLULER 256GB SILVER,"1,000,000원",2018.12.14. 17:07,https://m.cafe.naver.com/ArticleRead.nhn?clubid=10050146&menuid=749&articleid=540253428&query=ipad+pro
10.5형 iPad Pro용 가죽 슬리브 - 일렉트릭 블루 판매합니다.,"60,000원",2018.12.14. 12:00,https://m.cafe.naver.com/ArticleRead.nhn?clubid=10050146&menuid=427&articleid=540146215&query=ipad+pro
10.5형 iPad Pro용 가죽 슬리브 - 일렉트릭 블루 판매합니다.,"60,000원",2018.12.14. 11:59,https://m.cafe.naver.com/ArticleRead.nhn?clubid=10050146&menuid=749&articleid=540145416&query=ipad+pro
iPad Pro 10.5 알루미늄 키보드 케이스 (iPad Pro 10.5 Keyboard Case),"32,000원",2018.12.14. 11:32,https://m.cafe.naver.com/ArticleRead.nhn?clubid=10050146&menuid=749&articleid=540134934&query=ipad+pro
아이패드 프로 256 12.9 wifi cellular (ipad pro) 미개봉 새상품 택포 97만원,"970,000원",2018.12.13. 19:59,https://m.cafe.naver.com/ArticleRead.nhn?clubid=10050146&menuid=334&articleid=539956334&query=ipad+pro
아이패드 프로(iPad Pro) 2세대 12.9인치 와이파이(wifi) 256g,"900,000원",2018.12.13. 15:26,https://m.cafe.naver.com/ArticleRead.nhn?clubid=10050146&menuid=749&articleid=539870043&query=ipad+pro
[공식앱] 애플 아이패드프로 iPad Pro 9.7 128GB 스그 셀룰러,None,None,https://m.cafe.naver.com/ArticleRead.nhn?clubid=10050146&menuid=736&articleid=539860887&query=ipad+pro
아이패드 프로 10.5 512G 셀룰러 스페이스 그레이 서울직거래 ipad pro+애플펜슬,"870,000원",2018.12.13. 14:28,https://m.cafe.naver.com/ArticleRead.nhn?clubid=10050146&menuid=749&articleid=539849289&query=ipad+pro
아이패드 프로 ipad pro 12.9형 256GB 80만원 판매 새상품,"800,000원",2018.12.13. 12:59,https://m.cafe.naver.com/ArticleRead.nhn?clubid=10050146&menuid=749&articleid=539816006&query=ipad+pro
(네고가능) 아이패드 프로(iPad Pro) 2세대 12.9인치 셀룰러(LTE) + 와이파이(wifi) 셋트 99만원,"990,000원",2018.12.13. 11:50,https://m.cafe.naver.com/ArticleRead.nhn?clubid=10050146&menuid=749&articleid=539790217&query=ipad+pro
ipad pro 스마트키보드 10.5inch,"120,000원",2018.12.13. 08:46,https://m.cafe.naver.com/ArticleRead.nhn?clubid=10050146&menuid=749&articleid=539722539&query=ipad+pro
[대구 직거래] iPad Pro 2(10.5형) 셀룰러 256G. 로즈골드. + 애플펜슬.,"850,000원",2018.12.12. 17:22,https://m.cafe.naver.com/ArticleRead.nhn?clubid=10050146&menuid=749&articleid=539557124&query=ipad+pro
[급매]아이패드 프로 10.5 셀룰러(ipad pro 10.5 lte) 스그 256g + 애플펜슬(정품) + 스마트키보드(정품) + 뒷면커버 + 파우치 + 양면커버 + 악세사리 /87만원,"870,000원",2018.12.12. 17:19,https://m.cafe.naver.com/ArticleRead.nhn?clubid=10050146&menuid=749&articleid=539556314&query=ipad+pro
Supershieldz [3-Pack] for Apple iPad Pro 12.9 필름,"25,000원",2018.12.12. 16:53,https://m.cafe.naver.com/ArticleRead.nhn?clubid=10050146&menuid=427&articleid=539547106&query=ipad+pro
아이패드 프로 ipad pro 12.9형 256GB 80만원 판매 새상품,"800,000원",2018.12.12. 13:19,https://m.cafe.naver.com/ArticleRead.nhn?clubid=10050146&menuid=749&articleid=539471022&query=ipad+pro
아이패드 프로(iPad Pro) 2세대 12.9인치 와이파이(wifi) 256g,"900,000원",2018.12.12. 12:03,https://m.cafe.naver.com/ArticleRead.nhn?clubid=10050146&menuid=749&articleid=539442325&query=ipad+pro
[판매완료]아이패드 프로 ipad pro 10.5 64g lte 로즈골드,"7,000원",2018.12.12. 11:07,https://m.cafe.naver.com/ArticleRead.nhn?clubid=10050146&menuid=749&articleid=539419575&query=ipad+pro
아이패드 프로 10.5(iPad Pro 10.5) wifi + cellular 64G 스페이스 그레이 판매합니다,"700,000원",2018.12.12. 01:04,https://m.cafe.naver.com/ArticleRead.nhn?clubid=10050146&menuid=749&articleid=539328190&query=ipad+pro
미개봉! IPAD PRO 12.9inch WIFI+CELLULER 256GB SILVER,"1,000,000원",2018.12.11. 15:19,https://m.cafe.naver.com/ArticleRead.nhn?clubid=10050146&menuid=749&articleid=539156706&query=ipad+pro
(울산) iPad pro 10.5 아이패드 프로 64 wifi 펜슬포함 팝니다,"650,000원",2018.12.11. 14:38,https://m.cafe.naver.com/ArticleRead.nhn?clubid=10050146&menuid=749&articleid=539141682&query=ipad+pro
10.5형 iPad Pro용 가죽 슬리브,"110,000원",2018.12.11. 08:03,https://m.cafe.naver.com/ArticleRead.nhn?clubid=10050146&menuid=749&articleid=539001880&query=ipad+pro
,,,
,,,
[공식앱] ipad pro 12.9 inch -32g 판매합니다,None,None,https://m.cafe.naver.com/ArticleRead.nhn?clubid=10050146&menuid=736&articleid=538988174&query=ipad+pro
[공식앱] 애플 아이패드프로 iPad Pro 9.7 128GB 실버 WIFI,None,None,https://m.cafe.naver.com/ArticleRead.nhn?clubid=10050146&menuid=736&articleid=538888986&query=ipad+pro
IPAD PRO 3세대 11형 WIFI 64GB 스페이스 그레이 미개봉 90만원 직거래,"900,000원",2018.12.10. 17:15,https://m.cafe.naver.com/ArticleRead.nhn?clubid=10050146&menuid=749&articleid=538841550&query=ipad+pro
아이패드 프로(iPad Pro) 2세대 12.9인치 와이파이(wifi) 256g,"950,000원",2018.12.10. 15:33,https://m.cafe.naver.com/ArticleRead.nhn?clubid=10050146&menuid=749&articleid=538807384&query=ipad+pro
