date,delivery fee,price,title,url
2018-12-18 오후 10:03:39,"배송비 2,500원","140,000",아이패드 2세대 스페이스그레이 16g A급,http://through.auction.co.kr/common/SafeRedirect.aspx?&next=http://itempage3.auction.co.kr/DetailView.aspx?ItemNo=B614275110&scoredtype=0
2018-12-17 오전 11:39:09,"배송비 4,000원","370,000",아이패드5세대 셀룰러 128 GB 골드 9.7,http://through.auction.co.kr/common/SafeRedirect.aspx?&next=http://itempage3.auction.co.kr/DetailView.aspx?ItemNo=B614264860&scoredtype=0
2018-12-17 오전 3:28:22,무료 배송,"123,000",APPLE 아이패드2 IPAD2 A1396 16기가 WiFi+3G M7,http://through.auction.co.kr/common/SafeRedirect.aspx?&next=http://itempage3.auction.co.kr/DetailView.aspx?ItemNo=B614163783&scoredtype=0
2018-12-19 오전 8:30:17,무료 배송,"149,000",아이패드미니 iPadMini1 A1432 WiFi 32기가 A급 M7,http://through.auction.co.kr/common/SafeRedirect.aspx?&next=http://itempage3.auction.co.kr/DetailView.aspx?ItemNo=B614167632&scoredtype=0
2018-12-17 오후 5:14:40,무료 배송,"815,000",Apple 애플 아이패드프로12.9 중고 S/A/B급 전시 중고,http://through.auction.co.kr/common/SafeRedirect.aspx?&next=http://itempage3.auction.co.kr/DetailView.aspx?ItemNo=B614400791&scoredtype=0
2018-12-16 오전 9:41:13,"배송비 3,000원","142,000",대용량 32G 이쁜 아이패드 미니1 화이트,http://through.auction.co.kr/common/SafeRedirect.aspx?&next=http://itempage3.auction.co.kr/DetailView.aspx?ItemNo=B613966153&scoredtype=0
2018-12-16 오전 9:40:37,"배송비 3,000원","152,000",A급 대용량 32G 깨끗하고 이쁜 아이패드 미니1 화이트,http://through.auction.co.kr/common/SafeRedirect.aspx?&next=http://itempage3.auction.co.kr/DetailView.aspx?ItemNo=B613966073&scoredtype=0
2018-12-16 오전 7:17:35,무료 배송,"125,000",아이패드2 A1396 32GB 셀룰러 LTE,http://through.auction.co.kr/common/SafeRedirect.aspx?&next=http://itempage3.auction.co.kr/DetailView.aspx?ItemNo=B613946691&scoredtype=0
2018-12-19 오전 10:56:32,무료 배송,"770,000",아이패드프로 2세대 10.5 256G Wifi 애플펜슬,http://through.auction.co.kr/common/SafeRedirect.aspx?&next=http://itempage3.auction.co.kr/DetailView.aspx?ItemNo=B613399096&scoredtype=0
2018-12-14 오후 5:27:40,무료 배송,"950,000",아이패드 2세대 10.5 256 LTE+WIFI,http://through.auction.co.kr/common/SafeRedirect.aspx?&next=http://itempage3.auction.co.kr/DetailView.aspx?ItemNo=B613395520&scoredtype=0
2018-12-23 오전 10:40:34,무료 배송,"900,000",(미개봉) 아이패드 프로 10.5 와이파이 512G,http://through.auction.co.kr/common/SafeRedirect.aspx?&next=http://itempage3.auction.co.kr/DetailView.aspx?ItemNo=B613383076&scoredtype=0
2018-12-15 오후 9:03:08,무료 배송,"800,000",IPadpro 10.5 256g wifi 골드,http://through.auction.co.kr/common/SafeRedirect.aspx?&next=http://itempage3.auction.co.kr/DetailView.aspx?ItemNo=B613250012&scoredtype=0
2018-12-14 오후 5:08:59,무료 배송,"815,000",Apple 아이패드프로10.5인치 중고 S/A/B급 전시,http://through.auction.co.kr/common/SafeRedirect.aspx?&next=http://itempage3.auction.co.kr/DetailView.aspx?ItemNo=B613384055&scoredtype=0
2018-12-13 오후 10:33:24,무료 배송,"1,295,000",안전거래 거래중) 아이패드3세대,http://through.auction.co.kr/common/SafeRedirect.aspx?&next=http://itempage3.auction.co.kr/DetailView.aspx?ItemNo=B613045925&scoredtype=0
2018-12-17 오후 1:02:51,무료 배송,"730,000",아이패드 프로 10.5  512G  wifi 용  뒤커버 있음.,http://through.auction.co.kr/common/SafeRedirect.aspx?&next=http://itempage3.auction.co.kr/DetailView.aspx?ItemNo=B612687958&scoredtype=0
2018-12-13 오전 2:43:03,"배송비 2,500원","7,200",(개똥이네) (중고 - ??) 아이폰 아이패드 앱 만들기,http://through.auction.co.kr/common/SafeRedirect.aspx?&next=http://itempage3.auction.co.kr/DetailView.aspx?ItemNo=B612618885&scoredtype=0
2018-12-13 오후 6:04:15,무료 배송,"839,000",(중고)아이패드프로10.5 256기가 셀룰러 스마트키보드,http://through.auction.co.kr/common/SafeRedirect.aspx?&next=http://itempage3.auction.co.kr/DetailView.aspx?ItemNo=B612923945&scoredtype=0
2018-12-13 오후 8:19:29,무료 배송,"200,000",아이패드미니2세대(가격내림),http://through.auction.co.kr/common/SafeRedirect.aspx?&next=http://itempage3.auction.co.kr/DetailView.aspx?ItemNo=B612553263&scoredtype=0
2018-12-12 오전 1:42:55,"배송비 2,500원","6,400",(개똥이네) (중고 - ??) 아이패드2 쉽게배우기,http://through.auction.co.kr/common/SafeRedirect.aspx?&next=http://itempage3.auction.co.kr/DetailView.aspx?ItemNo=B612208269&scoredtype=0
2018-12-11 오후 12:31:04,무료 배송,"480,000",애플 아이패드 6세대 와이파이 128G 미개봉 새제품,http://through.auction.co.kr/common/SafeRedirect.aspx?&next=http://itempage3.auction.co.kr/DetailView.aspx?ItemNo=B611883371&scoredtype=0
2018-12-21 오후 11:06:16,"배송비 3,500원","100,000",아이패드2 블랙ㆍ32Gㆍ충전기ㆍ파우치,http://through.auction.co.kr/common/SafeRedirect.aspx?&next=http://itempage3.auction.co.kr/DetailView.aspx?ItemNo=B611618088&scoredtype=0
2018-12-10 오후 6:00:41,"배송비 4,500원","85,000",아이패드2 중고 wifi 16gb,http://through.auction.co.kr/common/SafeRedirect.aspx?&next=http://itempage3.auction.co.kr/DetailView.aspx?ItemNo=B611543170&scoredtype=0
2018-12-21 오전 6:29:47,무료 배송,"147,000",아이패드미니 iPADMiNi A1455 WiFi+LTE 16기가 M3,http://through.auction.co.kr/common/SafeRedirect.aspx?&next=http://itempage3.auction.co.kr/DetailView.aspx?ItemNo=B610430658&scoredtype=0
2018-12-07 오후 9:19:35,무료 배송,"154,000",아이패드미니 iPadMini1 A1432 WiFi 32기가 A급 M3,http://through.auction.co.kr/common/SafeRedirect.aspx?&next=http://itempage3.auction.co.kr/DetailView.aspx?ItemNo=B610790823&scoredtype=0
2018-12-07 오후 10:45:27,무료 배송,"145,000",APPLE 아이패드2 A1396 32GB WiFi+셀룰러 M3,http://through.auction.co.kr/common/SafeRedirect.aspx?&next=http://itempage3.auction.co.kr/DetailView.aspx?ItemNo=B610813054&scoredtype=0
2018-12-06 오후 10:51:06,무료 배송,"95,000",아이패드 프로 12.9 애플정품 슬리브,http://through.auction.co.kr/common/SafeRedirect.aspx?&next=http://itempage3.auction.co.kr/DetailView.aspx?ItemNo=B610396677&scoredtype=0
